name,diet,period,lived_in,type,length,taxonomy,named_by,species,link,year film,film
brachiosaurus,herbivorous,Late Jurassic 155-140 million years ago,USA,sauropod,30.0,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Macronaria Camarasauromorpha Titanosauriformes Brachiosauridae,Riggs (1903),altithorax,https://www.nhm.ac.uk/discover/dino-directory/brachiosaurus.html,2001-01-01,jurassic park III
brachiosaurus,herbivorous,Late Jurassic 155-140 million years ago,USA,sauropod,30.0,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Macronaria Camarasauromorpha Titanosauriformes Brachiosauridae,Riggs (1903),altithorax,https://www.nhm.ac.uk/discover/dino-directory/brachiosaurus.html,2015-01-01,jurassic world
brachiosaurus,herbivorous,Late Jurassic 155-140 million years ago,USA,sauropod,30.0,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Macronaria Camarasauromorpha Titanosauriformes Brachiosauridae,Riggs (1903),altithorax,https://www.nhm.ac.uk/discover/dino-directory/brachiosaurus.html,2018-01-01,jurassic world: fallen kingdom
brachiosaurus,herbivorous,Late Jurassic 155-140 million years ago,USA,sauropod,30.0,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Macronaria Camarasauromorpha Titanosauriformes Brachiosauridae,Riggs (1903),altithorax,https://www.nhm.ac.uk/discover/dino-directory/brachiosaurus.html,2022-01-01,jurassic world: dominion
brachiosaurus,herbivorous,Late Jurassic 155-140 million years ago,USA,sauropod,30.0,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Macronaria Camarasauromorpha Titanosauriformes Brachiosauridae,Riggs (1903),altithorax,https://www.nhm.ac.uk/discover/dino-directory/brachiosaurus.html,2025-01-01,jurassic world: rebirth
carnotaurus,carnivorous,Late Cretaceous 70 million years ago,Argentina,large theropod,7.6,Dinosauria Saurischia Theropoda Neotheropoda Ceratosauria Neoceratosauria Abelisauridae,Bonaparte (1985),sastrei,https://www.nhm.ac.uk/discover/dino-directory/carnotaurus.html,2018-01-01,jurassic world: fallen kingdom
ceratosaurus,carnivorous,Late Jurassic 153-148 million years ago,USA,large theropod,6.0,Dinosauria Saurischia Theropoda Neotheropoda Ceratosauria Neoceratosauria,Marsh (1884),nasicornis,https://www.nhm.ac.uk/discover/dino-directory/ceratosaurus.html,2001-01-01,jurassic park III
compsognathus,carnivorous,Late Jurassic 145-140 million years ago,Germany,small theropod,0.65,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Compsognathidae,Wagner (1859),longipes,https://www.nhm.ac.uk/discover/dino-directory/compsognathus.html,1993-01-01,jurassic park
compsognathus,carnivorous,Late Jurassic 145-140 million years ago,Germany,small theropod,0.65,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Compsognathidae,Wagner (1859),longipes,https://www.nhm.ac.uk/discover/dino-directory/compsognathus.html,1997-01-01,the lost world: jurassic park
compsognathus,carnivorous,Late Jurassic 145-140 million years ago,Germany,small theropod,0.65,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Compsognathidae,Wagner (1859),longipes,https://www.nhm.ac.uk/discover/dino-directory/compsognathus.html,2001-01-01,jurassic park III
